frame,detections
0,
1,
2,
3,
4,
5,
6,
7,
8,
9,
10,
11,
12,
13,
14,
15,
16,
17,
18,
19,
20,
21,
22,
23,
24,
25,
26,
27,
28,
29,
30,
31,
32,
33,
34,
35,
36,
37,
38,
39,
40,
41,
42,
43,
44,
45,
46,
47,
48,
49,
50,
51,
52,
53,
54,
55,
56,
57,
58,
59,
60,
61,
62,
63,
64,
65,
66,
67,
68,
69,
70,
71,
72,
73,
74,
75,
76,
77,
78,
79,
80,
81,
82,
83,
84,
85,
86,
87,
88,
89,
90,
91,
92,
93,
94,
95,
96,
97,
98,
99,
100,
101,
102,
103,
104,
105,0:0.34:137.8:570.4:275.0:483.4
106,
107,
108,
109,
110,
111,0:0.27:72.6:382.9:145.3:129.4
112,
113,0:0.55:170.7:568.8:321.7:468.8
114,0:0.70:174.9:561.2:335.0:473.1
115,0:0.50:190.3:561.1:350.4:474.3
116,0:0.27:105.1:491.6:162.4:332.6
117,0:0.87:210.4:561.5:346.1:475.1
118,0:0.85:216.5:564.1:346.6:484.4
119,0:0.85:216.1:563.7:334.1:478.4
120,0:0.62:223.0:561.0:313.7:474.2
121,
122,0:0.50:235.0:558.6:295.9:478.2
123,0:0.61:245.2:555.7:280.2:472.4
124,
125,
126,
127,0:0.85:276.0:555.0:233.5:471.4
128,0:0.86:284.4:556.2:221.8:478.2
129,0:0.91:293.0:558.2:225.6:483.0
130,0:0.90:304.1:560.2:236.0:483.9
131,0:0.87:329.4:561.8:268.6:493.3
132,0:0.89:354.4:559.4:288.9:478.4
133,0:0.91:382.6:560.5:316.8:472.7
134,0:0.89:394.5:554.3:323.0:460.6
135,0:0.89:412.8:553.1:319.4:458.4
136,0:0.88:428.2:558.5:324.9:449.7
137,0:0.89:441.3:559.6:323.5:447.1
138,0:0.89:455.0:557.1:329.1:442.4
139,0:0.89:464.0:557.8:319.0:441.9
140,0:0.85:474.9:557.2:308.3:443.7
141,0:0.85:483.4:553.4:305.3:449.3
142,0:0.88:492.2:555.4:283.1:447.5
143,0:0.88:504.7:548.2:259.4:449.1
144,0:0.85:514.5:547.9:234.4:444.8
145,0:0.78:530.6:545.1:208.8:445.8
146,0:0.87:541.0:545.0:193.5:450.5
147,0:0.79:547.2:543.8:185.8:450.5
148,0:0.58:563.3:541.0:183.3:451.5;0:0.36:535.4:535.9:128.5:446.7
149,0:0.69:592.5:540.4:194.8:449.6
150,0:0.86:632.6:540.0:233.0:446.3
151,0:0.89:655.1:546.5:255.0:441.3
152,0:0.89:672.8:547.6:261.2:439.0
153,0:0.90:681.2:546.9:267.9:437.1
154,0:0.91:687.0:546.4:270.0:438.4
155,0:0.90:696.0:546.5:274.7:439.9
156,0:0.90:704.1:544.3:271.2:443.4
157,0:0.87:710.8:540.6:255.9:442.3
158,0:0.85:723.7:535.5:230.5:434.5
